Artists,Track,Type,FA status,Has label,Permission,Comment,Tournament,Mappool slot,Tournament link,Note,Beatmap,FA listing,SoundCloud,YouTube,Spotify,Bandcamp,Asset
`James Landino`:39,James Landino - Anti Hero,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=James%20Landino&is_default_sort=true&query=%22Anti%20Hero%22,,,,,
`James Landino`:39,James Landino - Arsene's Bazaar,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=James%20Landino&is_default_sort=true&query=%22Arsene%27s%20Bazaar%22,,,,,
`James Landino`:39; `Funk Fiction`; `Andy Studer`,James Landino - Dreaming (with Funk Fiction & Andy Studer),FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=James%20Landino&is_default_sort=true&query=%22Dreaming%20(with%20Funk%20Fiction%20%26%20Andy%20Studer)%22,,,,,
`James Landino`:39,James Landino - RUN2ME,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=James%20Landino&is_default_sort=true&query=%22RUN2ME%22,,,,,
`James Landino`:39,James Landino - Shiba Paradise,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=James%20Landino&is_default_sort=true&query=%22Shiba%20Paradise%22,,,,,
`kiraku`:101,kiraku - connection,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=kiraku&query=connection,,,,,
`Kitazawa Kyouhei`:165,Kitazawa Kyouhei - TRUE-QUEEN,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,,,https://www.youtube.com/watch?v=s4FcjckW0NE,,,
`Rabbit House`:242,Rabbit House - Gehenna,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,,https://soundcloud.com/dksslqj/gehenna,,,,
`yuki.`:4,yuki. - Be Your Light,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=yuki.&query=Be%20Your%20Light,,,,,
`yuki.`:4,yuki. - Candy Girl,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=yuki.&query=Candy%20Girl,,,,,
`yuki.`:4,yuki. - daft,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=yuki.&query=daft,,,,,
`yuki.`:4,yuki. - Forget you,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=yuki.&query=Forget%20you,,,,,
`yuki.`:4,yuki. - Have it All,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=yuki.&query=Have%20it%20All,,,,,
`yuki.`:4; `setsunan`,yuki. - Hello! World (feat. setsunan),FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=yuki.&query=Hello!%20World%20(feat.%20setsunan),,,,,
`yuki.`:4,yuki. - Nadeshiko Sensation,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,,https://soundcloud.com/yuki_0126/nadeshiko-sensation,,,,
`yuki.`:4,yuki. - Polaris,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=yuki.&query=Polaris,,,,,
`yuki.`:4,yuki. - Spring Signal,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,https://osu.ppy.sh/beatmaps/artists/tracks?artist=yuki.&query=Spring%20Signal,,,,,
